City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bathsheba,BB,2021-05-24 20:04:59,13.2167,-59.5167,84.81,69,40,16.24
68,Leningradskiy,RU,2021-05-24 20:05:00,69.3833,178.4167,31.8,88,100,9.37
69,Usinsk,RU,2021-05-24 20:05:00,65.9939,57.5281,41.54,48,100,19.44
70,San Patricio,US,2021-05-24 20:05:00,28.017,-97.5169,85.01,67,48,17.34
71,Coquimbo,CL,2021-05-24 20:03:14,-29.9533,-71.3436,60.53,57,0,5.26
72,San Juan Del Parana,PY,2021-05-24 20:05:01,-27.3,-55.9667,64.45,51,40,6.91
73,Balykshi,KZ,2021-05-24 20:05:02,47.0667,51.8667,73.4,23,0,6.71
74,Pilar,BR,2021-05-24 20:05:04,-9.5972,-35.9567,78.73,76,51,7.63
75,Kapaa,US,2021-05-24 20:05:04,22.0752,-159.319,82.47,68,1,1.01
76,Iqaluit,CA,2021-05-24 20:05:05,63.7506,-68.5145,22.89,61,45,3.96
77,Cape Town,ZA,2021-05-24 20:01:38,-33.9258,18.4232,62.1,81,90,6.73
78,Batemans Bay,AU,2021-05-24 20:05:05,-35.7167,150.1833,55.2,93,100,4.81
79,Oistins,BB,2021-05-24 20:05:06,13.0667,-59.5333,84.29,54,40,19.57
80,Itupiranga,BR,2021-05-24 20:05:06,-5.1347,-49.3267,89.92,68,63,3.91
81,Kaeo,NZ,2021-05-24 20:05:06,-35.1,173.7833,54.32,79,100,13.53
82,Juybar,IR,2021-05-24 20:05:07,36.6412,52.9124,71.64,69,80,4.36
83,Mar Del Plata,AR,2021-05-24 20:04:48,-38.0023,-57.5575,64.99,56,0,14.0
84,Port Macquarie,AU,2021-05-24 20:03:06,-31.4333,152.9167,57.38,78,82,0.98
85,Visby,SE,2021-05-24 20:05:08,57.6409,18.296,49.86,71,0,11.5
86,Severo-Yeniseyskiy,RU,2021-05-24 20:05:08,60.3725,93.0408,42.1,90,72,9.89
87,Nicoya,CR,2021-05-24 20:04:26,10.1483,-85.452,85.55,59,99,7.47
88,Kaitangata,NZ,2021-05-24 20:05:09,-46.2817,169.8464,39.92,88,5,4.65
89,Ilulissat,GL,2021-05-24 20:05:09,69.2167,-51.1,44.62,33,75,21.85
90,Kruisfontein,ZA,2021-05-24 20:05:10,-34.0033,24.7314,66.88,66,100,7.47
91,Teya,RU,2021-05-24 20:05:10,60.3778,92.6267,45.75,89,69,9.84
92,Plastun,RU,2021-05-24 20:05:11,44.7561,136.2939,46.24,93,100,3.6
93,Alyangula,AU,2021-05-24 20:05:11,-13.8483,136.4192,76.26,79,92,9.48
94,Katsuura,JP,2021-05-24 20:05:12,35.1333,140.3,65.19,88,100,7.14
95,Padang,ID,2021-05-24 20:02:46,-0.9492,100.3543,77.81,88,99,3.67
96,Coahuayana,MX,2021-05-24 20:05:12,18.7333,-103.6833,98.08,40,0,8.5
97,Xichang,CN,2021-05-24 20:05:13,27.8964,102.2634,61.23,83,100,1.23
98,Narsaq,GL,2021-05-24 20:05:13,60.9167,-46.05,46.62,53,100,1.19
99,Chapadinha,BR,2021-05-24 20:05:13,-3.7417,-43.3603,83.75,68,100,3.02
100,Mahebourg,MU,2021-05-24 20:05:14,-20.4081,57.7,70.25,73,41,14.83
101,Fortuna,US,2021-05-24 20:03:47,40.5982,-124.1573,77.47,64,1,5.01
102,Clyde River,CA,2021-05-24 20:05:15,70.4692,-68.5914,21.43,93,90,32.21
103,Norman Wells,CA,2021-05-24 20:05:15,65.282,-126.8329,51.93,49,91,6.15
104,Barrow,US,2021-05-24 20:02:41,71.2906,-156.7887,26.62,86,90,17.27
105,Souillac,MU,2021-05-24 20:05:16,-20.5167,57.5167,70.36,75,91,13.73
106,Colares,PT,2021-05-24 20:05:16,38.7992,-9.4469,60.44,58,0,13.0
107,Lata,PT,2021-05-24 20:03:13,40.1629,-8.3327,58.71,76,6,5.93
108,Bethel,US,2021-05-24 20:05:17,41.3712,-73.414,70.18,53,75,1.01
109,Ponta Do Sol,PT,2021-05-24 20:05:17,32.6667,-17.1,68.0,77,42,5.1
110,Yellowknife,CA,2021-05-24 20:05:18,62.456,-114.3525,41.56,38,0,3.0
111,Yumen,CN,2021-05-24 20:05:18,40.2833,97.2,59.16,15,100,4.72
112,Onufriyivka,UA,2021-05-24 20:05:19,48.9072,33.4487,54.39,85,99,14.85
113,Avera,US,2021-05-24 20:05:19,33.194,-82.5271,94.87,31,10,3.15
114,Koslan,RU,2021-05-24 20:05:19,63.4564,48.8989,49.46,92,89,9.08
115,Chuy,UY,2021-05-24 20:05:20,-33.6971,-53.4616,57.85,64,8,11.97
116,Kodiak,US,2021-05-24 20:05:20,57.79,-152.4072,49.51,76,1,6.91
117,Karratha,AU,2021-05-24 20:05:21,-20.7377,116.8463,69.46,40,59,14.43
118,Zuwarah,LY,2021-05-24 20:05:21,32.9312,12.082,69.42,88,0,15.84
119,Arraial Do Cabo,BR,2021-05-24 20:05:22,-22.9661,-42.0278,73.26,60,75,8.05
120,Alofi,NU,2021-05-24 20:03:35,-19.0595,-169.9187,78.69,94,75,3.44
121,Esperance,AU,2021-05-24 20:05:23,-33.8667,121.9,57.06,58,100,21.9
122,San-Pedro,CI,2021-05-24 20:05:23,4.7485,-6.6363,81.19,84,71,7.02
123,Port Hardy,CA,2021-05-24 20:03:12,50.6996,-127.4199,50.34,88,100,4.25
124,Samarai,PG,2021-05-24 20:05:24,-10.6167,150.6667,79.77,73,79,14.79
125,Uyuni,BO,2021-05-24 20:05:24,-20.4597,-66.825,48.69,12,98,10.25
126,Ulaanbaatar,MN,2021-05-24 20:03:00,47.9077,106.8832,42.93,89,75,4.23
127,Hithadhoo,MV,2021-05-24 20:05:25,-0.6,73.0833,84.34,69,100,15.86
128,Port Elizabeth,ZA,2021-05-24 20:05:04,-33.918,25.5701,73.69,49,75,20.71
129,Nikolskoye,RU,2021-05-24 20:05:25,59.7035,30.7861,51.69,86,5,4.63
130,Tuatapere,NZ,2021-05-24 20:05:26,-46.1333,167.6833,33.6,91,12,5.21
131,Lubaczow,PL,2021-05-24 20:05:26,50.157,23.1234,61.52,71,100,12.1
132,Kungsbacka,SE,2021-05-24 20:05:26,57.4872,12.0761,57.06,66,23,10.0
133,Hobart,AU,2021-05-24 20:05:27,-42.8794,147.3294,55.26,83,99,3.0
134,Paramonga,PE,2021-05-24 20:01:01,-10.6667,-77.8333,68.61,78,19,8.3
135,Hilo,US,2021-05-24 20:05:28,19.7297,-155.09,82.62,71,1,10.36
136,Touros,BR,2021-05-24 20:05:28,-5.1989,-35.4608,81.5,76,99,14.43
137,Nanortalik,GL,2021-05-24 20:05:28,60.1432,-45.2371,35.44,97,100,12.84
138,Impfondo,CG,2021-05-24 20:05:29,1.6381,18.0667,75.34,78,48,3.71
139,Mount Isa,AU,2021-05-24 20:05:29,-20.7333,139.5,58.77,67,27,0.0
140,Chitral,PK,2021-05-24 20:05:30,35.8462,71.7858,60.67,49,2,6.02
141,La Sarre,CA,2021-05-24 20:05:30,48.8002,-79.1996,64.35,36,15,9.46
142,Vila Franca Do Campo,PT,2021-05-24 20:02:55,37.7167,-25.4333,64.81,67,100,4.94
143,Saint-Joseph,RE,2021-05-24 20:05:31,-21.3667,55.6167,70.18,79,72,16.06
144,Netanya,IL,2021-05-24 20:05:31,32.3329,34.8599,72.95,69,9,0.09
145,Phu Ly,VN,2021-05-24 20:05:32,20.5411,105.9139,75.42,86,76,5.12
146,Riyadh,SA,2021-05-24 20:02:42,24.6877,46.7219,90.27,18,49,9.57
147,Bermejo,AR,2021-05-24 20:05:33,-32.8833,-68.8,64.22,27,0,4.61
148,Sitka,US,2021-05-24 20:05:33,57.0531,-135.33,48.09,71,90,9.22
149,Vila Velha,BR,2021-05-24 20:05:33,-20.3297,-40.2925,76.95,81,75,3.0
150,Umm Kaddadah,SD,2021-05-24 20:05:34,13.6017,26.6876,90.23,10,30,7.0
151,Constitucion,CL,2021-05-24 20:05:34,-35.3333,-72.4167,61.32,69,7,12.53
152,Tanabe,JP,2021-05-24 20:05:34,33.7333,135.3667,64.92,82,91,5.01
153,Encruzilhada Do Sul,BR,2021-05-24 20:05:35,-30.5439,-52.5219,55.04,61,0,8.43
154,Westport,US,2021-05-24 20:05:35,41.1415,-73.3579,69.62,48,1,1.01
155,Tavistock,GB,2021-05-24 20:05:36,50.5494,-4.1442,51.64,82,3,12.91
156,Lavrentiya,RU,2021-05-24 20:05:36,65.5833,-171.0,34.92,78,94,13.98
157,Egvekinot,RU,2021-05-24 20:05:37,66.3167,-179.1667,31.69,89,100,9.91
158,Ribeira Grande,PT,2021-05-24 20:05:38,38.5167,-28.7,64.8,68,20,14.97
159,Longyearbyen,SJ,2021-05-24 20:05:38,78.2186,15.6401,28.24,69,75,11.5
160,Aklavik,CA,2021-05-24 20:05:39,68.2191,-135.0107,39.92,66,96,9.51
161,Bengkulu,ID,2021-05-24 20:03:38,-3.8004,102.2655,75.7,93,99,3.76
162,Georgetown,MY,2021-05-24 20:05:40,5.4112,100.3354,81.9,82,99,3.15
163,Hermanus,ZA,2021-05-24 20:05:40,-34.4187,19.2345,60.91,82,55,7.38
164,Tezu,IN,2021-05-24 20:05:40,27.9167,96.1667,75.94,89,79,4.7
165,Valparaiso,CL,2021-05-24 20:05:41,-33.0393,-71.6273,71.24,48,0,16.11
166,Qaanaaq,GL,2021-05-24 20:05:41,77.484,-69.3632,33.49,74,0,6.11
167,Novikovo,RU,2021-05-24 20:05:42,51.1537,37.8879,58.21,81,100,6.76
168,Maniitsoq,GL,2021-05-24 20:05:42,65.4167,-52.9,31.53,91,100,14.97
169,Hasaki,JP,2021-05-24 20:05:42,35.7333,140.8333,61.2,84,25,9.4
170,Chajul,GT,2021-05-24 20:05:43,15.4853,-91.0342,78.84,89,100,4.72
171,Sungaipenuh,ID,2021-05-24 20:05:43,-2.0833,101.3833,65.43,98,97,2.13
172,Ulaangom,MN,2021-05-24 20:05:43,49.9811,92.0667,55.45,58,1,0.38
173,Turburea,RO,2021-05-24 20:05:44,44.7167,23.5167,68.59,61,88,4.14
174,Grindavik,IS,2021-05-24 20:04:01,63.8424,-22.4338,48.67,72,75,14.32
175,Eydhafushi,MV,2021-05-24 20:05:44,5.1033,73.0708,84.22,74,100,22.93
176,Taree,AU,2021-05-24 20:05:45,-31.9,152.4667,56.34,94,90,0.0
177,Kulhudhuffushi,MV,2021-05-24 20:05:45,6.6221,73.07,83.77,75,100,25.41
178,Vardo,NO,2021-05-24 20:05:46,70.3705,31.1107,37.38,60,75,2.3
179,Dicabisagan,PH,2021-05-24 20:05:46,17.0818,122.4157,78.15,87,6,2.42
180,Tank,PK,2021-05-24 20:05:47,32.2217,70.3793,88.81,29,0,4.94
181,Luau,AO,2021-05-24 20:05:47,-10.7073,22.2247,60.22,47,3,3.89
182,Pak Phanang,TH,2021-05-24 20:05:47,8.3511,100.202,79.81,80,100,6.11
183,Lusambo,CD,2021-05-24 20:05:48,-4.9667,23.45,71.49,61,8,0.96
184,Kokoda,PG,2021-05-24 20:05:48,-8.8785,147.7407,72.91,95,98,2.1
185,Filingue,NE,2021-05-24 20:05:48,14.3521,3.3168,96.64,18,20,4.16
186,Deva,RO,2021-05-24 20:05:49,45.8833,22.9,57.76,81,100,3.44
187,Velingara,SN,2021-05-24 20:05:49,13.15,-14.1167,96.48,18,7,5.17
188,Praia,CV,2021-05-24 20:05:50,14.9215,-23.5087,72.59,79,3,14.79
189,Qostanay,KZ,2021-05-24 20:05:50,53.1667,63.5833,66.49,48,0,4.47
190,Richards Bay,ZA,2021-05-24 20:05:50,-28.783,32.0377,65.55,77,0,12.66
191,Kalaleh,IR,2021-05-24 20:05:51,37.3807,55.4916,73.31,61,100,1.3
192,Labuhan,ID,2021-05-24 20:05:51,-6.8844,112.2051,77.02,88,32,6.4
193,Honiara,SB,2021-05-24 20:05:51,-9.4333,159.95,77.34,87,99,3.09
194,Carnarvon,AU,2021-05-24 20:05:52,-24.8667,113.6333,51.87,100,0,8.05
195,Ust-Karsk,RU,2021-05-24 20:05:52,52.7011,118.8077,39.06,99,100,2.75
196,Luderitz,NA,2021-05-24 20:05:53,-26.6481,15.1594,68.45,52,100,3.2
197,Vagay,RU,2021-05-24 20:05:53,57.9375,69.0217,68.31,68,91,8.39
198,Ouro Branco,BR,2021-05-24 20:02:39,-20.5208,-43.6919,70.09,63,98,4.07
199,Castro,BR,2021-05-24 20:02:32,-24.7911,-50.0119,53.87,65,88,3.36
200,Torbay,CA,2021-05-24 20:05:30,47.6666,-52.7314,37.27,73,99,3.0
201,Srednekolymsk,RU,2021-05-24 20:05:54,67.45,153.6833,49.59,49,0,10.22
202,Yavaros,MX,2021-05-24 20:05:54,26.7,-109.5167,99.45,35,92,12.44
203,Paulo Afonso,BR,2021-05-24 20:05:55,-9.4061,-38.2147,80.44,52,98,8.23
204,Podporozhye,RU,2021-05-24 20:05:55,60.9112,34.1706,45.91,88,80,8.99
205,Salalah,OM,2021-05-24 20:05:56,17.0151,54.0924,86.09,70,40,5.75
206,Seoul,KR,2021-05-24 20:03:33,37.5683,126.9778,56.71,70,55,2.68
207,Berlevag,NO,2021-05-24 20:05:56,70.8578,29.0864,39.2,64,0,2.3
208,Lambarene,GA,2021-05-24 20:05:56,-0.7001,10.2406,76.77,94,100,3.98
209,Poya,NC,2021-05-24 20:05:57,-21.35,165.15,68.7,68,56,8.5
210,Uvat,RU,2021-05-24 20:05:57,59.1433,68.8953,58.98,89,100,5.19
211,Sept-Iles,CA,2021-05-24 20:02:10,50.2001,-66.3821,50.05,65,38,5.99
212,Sambava,MG,2021-05-24 20:05:58,-14.2667,50.1667,70.45,83,3,10.36
213,Verkhnetulomskiy,RU,2021-05-24 20:05:58,68.6073,31.7962,35.73,92,35,3.65
214,Samagaltay,RU,2021-05-24 20:05:58,50.6022,95.0047,43.84,86,94,5.99
215,Nantucket,US,2021-05-24 20:05:59,41.2835,-70.0995,63.97,58,1,9.22
216,Namibe,AO,2021-05-24 20:05:59,-15.1961,12.1522,74.08,70,20,7.14
217,Chapais,CA,2021-05-24 20:03:23,49.7834,-74.8492,61.88,22,0,12.3
218,Kavieng,PG,2021-05-24 20:06:00,-2.5744,150.7967,81.43,76,98,3.2
219,Ostrovnoy,RU,2021-05-24 20:06:00,68.0531,39.5131,33.71,84,96,14.41
220,Lagoa,PT,2021-05-24 20:06:01,39.05,-27.9833,61.92,69,100,12.06
221,Saint Anthony,US,2021-05-24 20:06:01,45.0205,-93.218,86.32,66,20,10.2
222,Lebu,CL,2021-05-24 20:06:01,-37.6167,-73.65,56.82,87,99,5.17
223,Ancud,CL,2021-05-24 20:06:02,-41.8697,-73.8203,53.42,71,91,12.97
224,Middelkerke,BE,2021-05-24 20:06:02,51.1558,2.8418,50.0,81,40,8.05
225,Ipira,BR,2021-05-24 20:06:02,-12.1583,-39.7372,83.35,31,100,4.54
226,Swellendam,ZA,2021-05-24 20:06:03,-34.0226,20.4417,61.05,65,100,1.66
227,Sao Joao Da Barra,BR,2021-05-24 20:03:37,-21.6403,-41.0511,75.29,69,100,16.04
228,Jinka,ET,2021-05-24 20:06:04,5.65,36.65,62.76,86,21,1.97
229,Talcahuano,CL,2021-05-24 20:05:15,-36.7167,-73.1167,56.88,82,75,10.36
230,Luorong,CN,2021-05-24 20:06:04,24.4058,109.6086,68.86,88,96,3.83
231,Codrington,AU,2021-05-24 20:06:05,-38.2667,141.9667,66.06,46,100,23.15
232,Ulladulla,AU,2021-05-24 20:06:05,-35.35,150.4667,55.87,90,100,5.97
233,Berbera,SO,2021-05-24 20:06:05,10.4396,45.0143,89.53,59,14,6.46
234,Copiapo,CL,2021-05-24 20:06:06,-27.3667,-70.3333,56.89,21,36,3.71
235,Jequie,BR,2021-05-24 20:06:06,-13.8575,-40.0836,84.49,34,100,4.56
236,Bartica,GY,2021-05-24 20:06:06,6.4,-58.6167,82.72,77,97,6.64
237,Neuruppin,DE,2021-05-24 20:06:07,52.9282,12.8031,64.89,66,88,7.23
238,Dingle,PH,2021-05-24 20:06:07,10.9995,122.6711,77.16,85,76,3.69
239,Saint-Philippe,RE,2021-05-24 20:06:07,-21.3585,55.7679,71.19,79,94,15.35
240,Manta,EC,2021-05-24 20:01:22,-0.95,-80.7333,78.51,75,51,12.08
241,Talnakh,RU,2021-05-24 20:03:02,69.4865,88.3972,28.6,92,100,19.6
242,Ayan,RU,2021-05-24 20:06:08,56.45,138.1667,33.93,93,100,23.17
243,Martapura,ID,2021-05-24 20:06:08,-3.4167,114.85,78.89,97,90,2.13
244,Mujiayingzi,CN,2021-05-24 20:06:09,42.1167,118.7833,43.34,35,3,8.25
245,Cam Ranh,VN,2021-05-24 20:06:09,11.9214,109.1591,80.56,86,40,5.82
246,Diffa,NE,2021-05-24 20:06:10,13.3154,12.6113,91.06,10,56,7.16
247,Emerald,AU,2021-05-24 20:06:10,-23.5333,148.1667,56.19,91,3,6.29
248,Victor Harbor,AU,2021-05-24 20:06:10,-35.5667,138.6167,60.46,90,97,1.99
249,Mporokoso,ZM,2021-05-24 20:06:10,-9.3727,30.125,57.29,62,72,7.96
250,Cherskiy,RU,2021-05-24 20:03:22,68.75,161.3,46.22,49,3,11.65
251,Rock Sound,BS,2021-05-24 20:06:11,24.9,-76.2,75.67,66,6,14.99
252,Kavaratti,IN,2021-05-24 20:06:11,10.5669,72.642,84.0,75,93,12.24
253,Choachi,CO,2021-05-24 20:06:12,4.529,-73.9227,72.99,96,99,3.09
254,Tasiilaq,GL,2021-05-24 20:02:41,65.6145,-37.6368,35.76,84,100,37.18
255,Te Anau,NZ,2021-05-24 20:06:12,-45.4167,167.7167,31.53,91,16,1.03
256,Altoona,US,2021-05-24 20:03:25,40.5187,-78.3947,64.65,92,100,4.56
257,Isangel,VU,2021-05-24 20:04:21,-19.55,169.2667,71.74,64,81,10.89
258,Stromness,GB,2021-05-24 20:06:13,58.965,-3.296,48.45,91,34,12.48
259,Beaverlodge,CA,2021-05-24 20:06:13,55.2166,-119.4361,58.01,63,100,8.52
