City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
59,Sangmelima,CM,2021-05-28 17:15:34,2.9333,11.9833,light rain,72.25,93,100,3.09
60,Bathsheba,BB,2021-05-28 17:15:35,13.2167,-59.5167,few clouds,86.61,51,20,15.77
61,San Cristobal,VE,2021-05-28 17:15:35,7.7669,-72.225,few clouds,80.78,52,24,7.72
62,Talnakh,RU,2021-05-28 17:15:35,69.4865,88.3972,overcast clouds,27.93,91,95,6.76
63,Nizhnyaya Poyma,RU,2021-05-28 17:15:36,56.1622,97.1933,overcast clouds,39.33,82,97,11.21
64,Pacific Grove,US,2021-05-28 17:15:36,36.6177,-121.9166,overcast clouds,69.57,90,90,3.0
65,Batemans Bay,AU,2021-05-28 17:15:36,-35.7167,150.1833,scattered clouds,49.91,65,25,9.62
66,Ketchikan,US,2021-05-28 17:15:37,55.3422,-131.6461,broken clouds,52.27,58,75,9.22
67,Vagur,FO,2021-05-28 17:15:37,61.4732,-6.8119,few clouds,46.29,88,16,16.84
68,Uyuni,BO,2021-05-28 17:15:37,-20.4597,-66.825,few clouds,48.42,30,12,29.19
69,Luderitz,NA,2021-05-28 17:15:38,-26.6481,15.1594,broken clouds,63.23,61,67,15.52
70,Saint George,US,2021-05-28 17:15:09,37.1041,-113.5841,clear sky,90.07,13,1,1.01
71,Cherskiy,RU,2021-05-28 17:15:38,68.75,161.3,broken clouds,44.38,55,80,13.27
72,Ardakan,IR,2021-05-28 17:15:39,32.31,54.0175,clear sky,86.38,13,0,8.52
73,Mehamn,NO,2021-05-28 17:15:39,71.0357,27.8492,broken clouds,35.78,69,75,25.32
74,Kavaratti,IN,2021-05-28 17:15:39,10.5669,72.642,few clouds,83.71,75,16,16.89
75,Kruisfontein,ZA,2021-05-28 17:15:40,-34.0033,24.7314,clear sky,61.88,73,0,13.11
76,Butaritari,KI,2021-05-28 17:15:40,3.0707,172.7902,light rain,81.64,81,95,12.88
77,Vyartsilya,RU,2021-05-28 17:15:40,62.1764,30.693,broken clouds,50.18,77,66,8.9
78,Kavieng,PG,2021-05-28 17:15:41,-2.5744,150.7967,overcast clouds,81.23,80,97,7.18
79,Kangaatsiaq,GL,2021-05-28 17:15:41,68.3065,-53.4641,scattered clouds,35.33,88,46,4.88
80,Semey,KZ,2021-05-28 17:15:41,50.4111,80.2275,clear sky,59.22,33,0,11.18
81,Coihaique,CL,2021-05-28 17:15:42,-45.5752,-72.0662,broken clouds,47.01,57,75,11.5
82,Bandarbeyla,SO,2021-05-28 17:15:42,9.4942,50.8122,scattered clouds,79.74,84,38,25.39
83,Hermanus,ZA,2021-05-28 17:15:42,-34.4187,19.2345,few clouds,61.81,87,24,16.58
84,Marawi,PH,2021-05-28 17:15:43,7.9986,124.2928,broken clouds,71.65,95,56,0.76
85,Bengkulu,ID,2021-05-28 17:15:43,-3.8004,102.2655,moderate rain,75.4,92,100,3.87
