City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Lexington Park,US,82.51,broken clouds,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
195,Dhidhdhoo,MV,83.91,clear sky,6.8833,73.1,Dhidhoo beach
197,Bongandanga,CD,72.7,light rain,1.5,21.05,
199,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
202,Manokwari,ID,78.76,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
204,Makat,KZ,78.13,broken clouds,47.6469,53.3463,Umit
206,Keti Bandar,PK,84.52,clear sky,24.1447,67.4497,Haji laloo memon house
208,Mamallapuram,IN,87.06,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
210,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
217,Antofagasta,CL,70.21,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
218,Moju,BR,84.27,scattered clouds,-1.8839,-48.7689,HOTEL MARTINS
222,Makakilo City,US,74.68,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
223,Aitape,PG,78.33,broken clouds,-3.1374,142.3475,
225,Peniche,PT,79.74,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
226,Ayna,PE,77.5,scattered clouds,-12.65,-73.9167,
227,Kupang,ID,77.9,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
229,Bantogon,PH,78.67,few clouds,6.5333,124.0333,Kalamansig Greenhome
230,Barcelos,PT,80.28,few clouds,41.5388,-8.6151,Hotel Do Terço
232,Pilar,BR,82.33,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
233,Vao,NC,70.65,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
234,Key West,US,84.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
236,San Patricio,US,89.69,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
237,Palembang,ID,76.44,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
238,Gamba,GA,78.66,overcast clouds,-2.65,10.0,
240,Pangkalanbuun,ID,75.04,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
242,Chimbote,PE,71.6,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
244,Dawei,MM,77.72,overcast clouds,14.0833,98.2,Hotel Dawei
246,Craig,US,73.18,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
248,Bozoum,CF,79.88,broken clouds,6.3193,16.3799,
249,Samana,DO,84.42,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
251,Sulangan,PH,84.65,overcast clouds,11.1373,123.7228,Maia's Beach Resort
252,Irpa Irpa,BO,75.11,broken clouds,-17.7167,-66.2667,Urbanización Villa Real
253,Kailua,US,76.14,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
256,Montauban,FR,79.48,overcast clouds,44.0833,1.5,Hôtel des Arts et Restaurant Les Gourmandises
257,Harper,LR,83.17,overcast clouds,4.375,-7.7169,Screensaver
